Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
hotel-manager,io.github.dmgtechlabs.files,FileOperations,chechPath,7,3,1
hotel-manager,io.github.dmgtechlabs.files,FileOperations,getDirectoryFromPath,4,2,1
hotel-manager,io.github.dmgtechlabs.files,FileOperations,getFilenameFromPath,4,2,1
hotel-manager,io.github.dmgtechlabs.files,FileOperations,getJustFilenameFromPath,4,2,1
hotel-manager,io.github.dmgtechlabs.files,FileOperations,getExtensionFromPath,4,2,1
hotel-manager,io.github.dmgtechlabs.files,FileOperations,findFiles,15,2,2
hotel-manager,io.github.dmgtechlabs.files,FileOperations,getFilenames,7,2,1
hotel-manager,io.github.dmgtechlabs.files,FileOperations,readFile,17,2,1
hotel-manager,io.github.dmgtechlabs.gui,HelpFrame,HelpFrame,18,1,0
hotel-manager,io.github.dmgtechlabs.gui,HelpFrame,initComponents,283,1,0
hotel-manager,io.github.dmgtechlabs.gui,HelpFrame,mouseClicked,3,1,1
hotel-manager,io.github.dmgtechlabs.gui,HelpFrame,actionPerformed,3,1,1
hotel-manager,io.github.dmgtechlabs.gui,HelpFrame,mouseClicked,3,1,1
hotel-manager,io.github.dmgtechlabs.gui,HelpFrame,mouseClicked,3,1,1
hotel-manager,io.github.dmgtechlabs.gui,HelpFrame,mouseClicked,3,1,1
hotel-manager,io.github.dmgtechlabs.gui,HelpFrame,mouseClicked,3,1,1
hotel-manager,io.github.dmgtechlabs.gui,HelpFrame,mouseClicked,3,1,1
hotel-manager,io.github.dmgtechlabs.gui,HelpFrame,mouseClicked,3,1,1
hotel-manager,io.github.dmgtechlabs.gui,HelpFrame,mouseClicked,3,1,1
hotel-manager,io.github.dmgtechlabs.gui,HelpFrame,mouseClicked,3,1,1
hotel-manager,io.github.dmgtechlabs.gui,HelpFrame,mouseClicked,3,1,1
hotel-manager,io.github.dmgtechlabs.gui,HelpFrame,nextButtonActionPerformed,2,1,1
hotel-manager,io.github.dmgtechlabs.gui,HelpFrame,loadShortcuts,2,1,0
hotel-manager,io.github.dmgtechlabs.gui,HelpFrame,next,10,2,0
hotel-manager,io.github.dmgtechlabs.gui,HelpFrame,prev,10,2,0
hotel-manager,io.github.dmgtechlabs.gui,HelpFrame,nextButtonMouseClicked,6,2,1
hotel-manager,io.github.dmgtechlabs.gui,HelpFrame,prevButtonMouseClicked,6,2,1
hotel-manager,io.github.dmgtechlabs.gui,HelpFrame,tableOfContentsLabelMouseClicked,8,2,1
hotel-manager,io.github.dmgtechlabs.gui,HelpFrame,issuesLabelMouseClicked,8,2,1
hotel-manager,io.github.dmgtechlabs.gui,HelpFrame,gettingStartedLabelMouseClicked,8,3,1
hotel-manager,io.github.dmgtechlabs.gui,HelpFrame,userManualLabelMouseClicked,8,3,1
hotel-manager,io.github.dmgtechlabs.gui,HelpFrame,faqsLabelMouseClicked,8,3,1
hotel-manager,io.github.dmgtechlabs.gui,HelpFrame,shortcutsLabelMouseClicked,8,3,1
hotel-manager,io.github.dmgtechlabs.gui,HelpFrame,troubleshootingLabelMouseClicked,8,3,1
hotel-manager,io.github.dmgtechlabs.gui,HelpFrame,returnButtonMouseClicked,8,2,1
hotel-manager,io.github.dmgtechlabs.gui,HelpFrame,main,15,1,1
hotel-manager,io.github.dmgtechlabs.gui,HelpFrame,run,3,1,0
hotel-manager,io.github.dmgtechlabs.gui,AboutFrame,AboutFrame,21,1,0
hotel-manager,io.github.dmgtechlabs.gui,AboutFrame,initComponents,71,1,0
hotel-manager,io.github.dmgtechlabs.gui,AboutFrame,mouseClicked,3,1,1
hotel-manager,io.github.dmgtechlabs.gui,AboutFrame,githubLabelMouseClicked,11,2,1
hotel-manager,io.github.dmgtechlabs.gui,AboutFrame,setLicense,5,1,1
hotel-manager,io.github.dmgtechlabs.gui,AboutFrame,setDeveloperName,4,1,1
hotel-manager,io.github.dmgtechlabs.gui,AboutFrame,setMail,4,1,1
hotel-manager,io.github.dmgtechlabs.gui,AboutFrame,setGithubURL,4,1,1
hotel-manager,io.github.dmgtechlabs.gui,AboutFrame,setDescription,5,1,1
hotel-manager,io.github.dmgtechlabs.gui,AboutFrame,setFrameFont,4,1,1
hotel-manager,io.github.dmgtechlabs.gui,AboutFrame,setProjectName,4,1,1
hotel-manager,io.github.dmgtechlabs.gui,AboutFrame,setVersion,4,1,1
hotel-manager,io.github.dmgtechlabs.gui,AboutFrame,main,15,1,1
hotel-manager,io.github.dmgtechlabs.gui,AboutFrame,run,3,1,0
hotel-manager,io.github.dmgtechlabs.gui,GUIUtils,logUserError,3,1,2
hotel-manager,io.github.dmgtechlabs.gui,GUIUtils,makeTableModel,9,1,3
hotel-manager,io.github.dmgtechlabs.gui,GUIUtils,isCellEditable,3,1,2
hotel-manager,io.github.dmgtechlabs.gui,GUIUtils,addKeyBinding,12,1,3
hotel-manager,io.github.dmgtechlabs.gui,GUIUtils,actionPerformed,3,1,1
hotel-manager,io.github.dmgtechlabs.gui,GUIUtils,addWindowClosedListener,8,1,2
hotel-manager,io.github.dmgtechlabs.gui,GUIUtils,windowClosed,3,1,1
hotel-manager,io.github.dmgtechlabs.gui,GUIUtils,showFrame,6,2,1
hotel-manager,io.github.dmgtechlabs.gui,GUIUtils,commonSetup,5,1,2
hotel-manager,io.github.dmgtechlabs.gui,GUIUtils,getFloatFormattedAdapter,11,2,1
hotel-manager,io.github.dmgtechlabs.gui,GUIUtils,keyTyped,6,2,1
hotel-manager,io.github.dmgtechlabs.gui,GUIUtils,setPlaceholder,19,3,2
hotel-manager,io.github.dmgtechlabs.gui,GUIUtils,focusGained,6,2,1
hotel-manager,io.github.dmgtechlabs.gui,GUIUtils,focusLost,6,2,1
hotel-manager,io.github.dmgtechlabs.gui,UserManagmentFrame,UserManagmentFrame,3,1,0
hotel-manager,io.github.dmgtechlabs.gui,UserManagmentFrame,initComponents,8,1,0
hotel-manager,io.github.dmgtechlabs.gui,UserManagmentFrame,main,28,3,1
hotel-manager,io.github.dmgtechlabs.gui,UserManagmentFrame,run,3,1,0
hotel-manager,io.github.dmgtechlabs.gui,deleteUser,deleteUser,3,1,0
hotel-manager,io.github.dmgtechlabs.gui,deleteUser,initComponents,36,1,0
hotel-manager,io.github.dmgtechlabs.gui,deleteUser,main,28,3,1
hotel-manager,io.github.dmgtechlabs.gui,deleteUser,run,3,1,0
hotel-manager,io.github.dmgtechlabs.gui,EmailVerifier,verify,4,1,1
hotel-manager,io.github.dmgtechlabs.gui,EmailVerifier,shouldYieldFocus,7,2,1
