Outline Level,ID,Name,Start,Finish,Duration,% Complete,Predecessors,Resource Names,Color,Notes
1,1,"1ο Παραδοτέο",2024-11-15,2024-11-26,8 day,0,"","",,"<p><br></p>"
2,15,"Έρευνα",2024-11-15,2024-11-26,8 day,0,"","Αθανάσιος Γεωργαλής,Κωνσταντίνος Γιαντσελίδης,Κωνσταντίνος Δεσποινίδης,Κωνσταντίνος Μώκας",,"<p><br></p>"
2,2,"Καθορισμός Απαιτήσεων",2024-11-15,2024-11-18,2 day,0,"","Αθανάσιος Γεωργαλής,Κωνσταντίνος Γιαντσελίδης,Κωνσταντίνος Δεσποινίδης,Κωνσταντίνος Μώκας",211,"<p><br></p>"
2,3,"Δημιουργία Vision Document",2024-11-19,2024-11-19,1 day,0,"2FS","Αθανάσιος Γεωργαλής,Κωνσταντίνος Γιαντσελίδης,Κωνσταντίνος Δεσποινίδης,Κωνσταντίνος Μώκας",211,"<p><br></p>"
2,4,"Πίνακας Χρηστών και Στόχων",2024-11-20,2024-11-20,1 day,0,"3FS","Αθανάσιος Γεωργαλής,Κωνσταντίνος Γιαντσελίδης,Κωνσταντίνος Δεσποινίδης,Κωνσταντίνος Μώκας",211,"<p><br></p>"
2,5,"Δημιουργία Διαγράμματος Περιπτώσεων Χρήσης",2024-11-21,2024-11-22,2 day,0,"4FS","Αθανάσιος Γεωργαλής,Κωνσταντίνος Γιαντσελίδης,Κωνσταντίνος Δεσποινίδης,Κωνσταντίνος Μώκας",211,"<p><br></p>"
2,6,"Ανάπτυξη Προδιαγραφών Περιπτώσεων Χρήσης",2024-11-25,2024-11-26,2 day,0,"5FS","Αθανάσιος Γεωργαλής,Κωνσταντίνος Γιαντσελίδης,Κωνσταντίνος Δεσποινίδης,Κωνσταντίνος Μώκας",121,"<p><br></p>"
2,21,"Τέλος 1ου Παραδοτέου",2024-11-26,2024-11-26,0 day,0,"6FS","",,"<p><br></p>"
1,8,"2ο Παραδοτέο",2024-11-27,2025-01-17,38 day,0,"","",,"<p><br></p>"
2,9,"Σχεδίαση Διαγράμματος Κλάσεων",2024-11-27,2024-11-27,1 day,0,"21FS","Αθανάσιος Γεωργαλής,Κωνσταντίνος Γιαντσελίδης,Κωνσταντίνος Δεσποινίδης,Κωνσταντίνος Μώκας",271,"<p><br></p>"
2,10,"Δημιουργία Διαγραμμάτων Ακολουθίας",2024-11-28,2024-12-04,5 day,0,"9FS","Αθανάσιος Γεωργαλής,Κωνσταντίνος Γιαντσελίδης,Κωνσταντίνος Δεσποινίδης,Κωνσταντίνος Μώκας",271,"<p><br></p>"
2,11,"Υλοποίηση Συστήματος",2024-12-05,2025-01-07,24 day,0,"","",,"<p><br></p>"
3,16,"Σχεδιασμός Βάσεως Δεδομένων",2024-12-05,2024-12-09,3 day,0,"10FS","Αθανάσιος Γεωργαλής,Κωνσταντίνος Γιαντσελίδης,Κωνσταντίνος Δεσποινίδης,Κωνσταντίνος Μώκας",31,"<p><br></p>"
3,20,"Υλοποίηση Βάσεως Δεδομένων",2024-12-09,2024-12-19,9 day,0,"","",31,"<p><br></p>"
3,17,"Υλοποίηση Κλάσεων",2024-12-06,2024-12-12,5 day,0,"","",31,"<p><br></p>"
3,18,"Γραφικό Περιβάλλον",2024-12-13,2024-12-23,7 day,0,"","Αθανάσιος Γεωργαλής,Κωνσταντίνος Γιαντσελίδης,Κωνσταντίνος Δεσποινίδης,Κωνσταντίνος Μώκας",31,"<p><br></p>"
3,19,"Buisness Logic",2024-12-10,2025-01-07,21 day,0,"","Αθανάσιος Γεωργαλής,Κωνσταντίνος Γιαντσελίδης,Κωνσταντίνος Δεσποινίδης,Κωνσταντίνος Μώκας",31,"<p><br></p>"
2,22,"Τέλος Ανάπτυξης Λογισμικού",2025-01-07,2025-01-07,0 day,0,"19FS","",,"<p><br></p>"
2,12,"Αξιολόγηση Ποιότητας Λογισμικού",2025-01-08,2025-01-10,3 day,0,"22FS","Αθανάσιος Γεωργαλής,Κωνσταντίνος Γιαντσελίδης,Κωνσταντίνος Δεσποινίδης,Κωνσταντίνος Μώκας",271,"<p><br></p>"
2,14,"Δημιουργία Tutorial Video",2025-01-13,2025-01-17,5 day,0,"22FS+3 days","",271,"<p><br></p>"
1,23,"Τέλος 2ου Παραδοτέου",2025-01-17,2025-01-17,0 day,0,"14FS","",,"<p><br></p>"
